yacht_id,office,arrival_port,arrival_date,departure_date,service_type,invoice_comments,supplier,cost_no_vat,final_charge,year,month,stay_days,margin,service_category,flag
yacht_10,Bergen Office,Bergen,2024-09-13 00:00:00,2024-09-21 00:00:00,Repair of,Bike Repair + Bike Pump,Unidentified Supplier,335.68,457.98,2024,9,8.0,122.30000000000001,Technical Services,
yacht_10,Bergen Office,Bergen,2024-09-15 00:00:00,2024-09-25 00:00:00,Transfer Service,Transfer - Embarking + Disembarking Crew,Unidentified Supplier,576.87,917.27,2024,9,10.0,340.4,Hospitality,
yacht_10,Bergen Office,Bergen,2024-09-18 00:00:00,2024-09-26 00:00:00,Purchasing Assistance,Purchase Assistance - SD Charts,Unidentified Supplier,201.73,247.15,2024,9,8.0,45.420000000000016,Agency Services,
yacht_10,Bergen Office,Bergen,2024-09-18 00:00:00,2024-09-26 00:00:00,Custom Formalities,Entry Clearance into Norway,,0.0,251.04,2024,9,8.0,251.04,Agency Services,
yacht_10,Bergen Office,Bergen,2024-09-18 00:00:00,2024-09-28 00:00:00,Purchasing Assistance,Purchase Assistance - Beers,Unidentified Supplier,160.86,221.49,2024,9,10.0,60.629999999999995,Agency Services,
yacht_10,Bergen Office,Bergen,2024-10-13 00:00:00,2024-10-22 00:00:00,Provisioning,Provisions - Ordered by Chief Stewardess,Unidentified Supplier,324.88,466.12,2024,10,9.0,141.24,Provisioning,
yacht_10,Bergen Office,Bergen,2024-10-15 00:00:00,2024-10-23 00:00:00,Port Dues,Port Dues - Bergen,Unidentified Supplier,3665.83,4197.39,2024,10,8.0,531.5600000000004,Port Marina,
yacht_10,Bergen Office,Bergen,2024-10-16 00:00:00,2024-10-24 00:00:00,Mooring/Unmooring Assistance,Mooring - Bergen,Unidentified Supplier,115.75,140.8,2024,10,8.0,25.05000000000001,Port Marina,
yacht_10,Bergen Office,Bergen,2024-10-16 00:00:00,2024-10-25 00:00:00,Storage & Transport,Storage & Delivery of Shipment - 70969940000133179,Unidentified Supplier,135.69,186.45,2024,10,9.0,50.75999999999999,Agency Services,
yacht_10,Bergen Office,Bergen,2024-10-18 00:00:00,2024-10-26 00:00:00,Storage & Transport,Storage & Delivery of Shipment - 70969940000133148,Unidentified Supplier,140.57,159.41,2024,10,8.0,18.840000000000003,Agency Services,
yacht_11,Bergen Office,Bergen,2024-09-13 00:00:00,2024-09-22 00:00:00,Custom Formalities,Entry Clearance into Norway,,0.0,299.89,2024,9,9.0,299.89,Agency Services,
yacht_11,Bergen Office,Bergen,2024-09-15 00:00:00,2024-09-23 00:00:00,Provisioning,Provisions Order - Chef,Unidentified Supplier,11098.89,14883.13,2024,9,8.0,3784.24,Provisioning,
yacht_11,Bergen Office,Bergen,2024-09-17 00:00:00,2024-09-24 00:00:00,Transfer Service,Transfer Service - Owners,Unidentified Supplier,729.64,984.01,2024,9,7.0,254.37,Hospitality,
yacht_11,Bergen Office,Bergen,2024-09-18 00:00:00,2024-09-27 00:00:00,Provisioning,Provisions Order - Chef,Unidentified Supplier,4788.23,5399.7,2024,9,9.0,611.4700000000003,Provisioning,
yacht_11,Bergen Office,Bergen,2024-09-19 00:00:00,2024-09-27 00:00:00,Provisioning,Provisions - Crew,Unidentified Supplier,607.29,591.94,2024,9,8.0,-15.349999999999909,Provisioning,
yacht_11,Bergen Office,Bergen,2024-09-19 00:00:00,2024-09-28 00:00:00,Provisioning,Total Freight Cost for Provisions,Unidentified Supplier,562.05,889.34,2024,9,9.0,327.2900000000001,Provisioning,
